table_size,always_taken,always_ntaken,one_bit,two_bit,correlated,gshare
512,48.832956646805016,51.167043353194984,12.572426546126977,10.959523320320526,10.856790630778713,30.665707828230943
1024,48.832956646805016,51.167043353194984,11.738237107047462,10.449969180193138,11.012944318882269,31.540990343127184
2048,48.832956646805016,51.167043353194984,11.561536881035545,10.528046024244915,11.062256009862338,30.176700226011917
4096,48.832956646805016,51.167043353194984,11.51017053626464,10.610232175878364,11.07252927881652,26.408465173618247
