benchmark,threshold,missrate
fft,50,5.619232351731029
fft,51,5.4017516017163345
fft,52,5.4017516017163345
fft,53,5.4017516017163345
fft,54,5.4017516017163345
fft,55,4.955034385469935
fft,56,4.978545817903956
fft,57,4.978545817903956
fft,58,4.984423676012461
fft,59,4.984423676012461
fft,60,4.984423676012461
fft,61,5.007935108446482
fft,62,5.007935108446482
fft,63,5.019690824663493
fft,64,5.019690824663493
fft,65,5.054957973314524
fft,66,5.054957973314524
fft,67,5.219538000352672
fft,68,5.219538000352672
fft,69,5.219538000352672
fft,70,5.219538000352672
fft,71,5.290072297654735
fft,72,5.337095162522776
fft,73,5.354728736848292
fft,74,5.366484453065303
fft,75,5.366484453065303
fft,76,5.484041615235409
fft,77,5.484041615235409
fft,78,5.507553047669429
fft,79,5.507553047669429
fft,80,5.6133544936225235
fft,81,5.707400223358608
fft,82,5.807323811203197
fft,83,5.807323811203197
fft,84,5.8543466760712395
fft,85,5.895491682830777
fft,86,6.054193851760418
fft,87,6.08946100041145
fft,88,6.0953388585199555
fft,89,6.224651736907071
fft,90,6.271674601775114
fft,91,6.453888203138776
fft,92,6.5538117909833655
fft,93,7.641215541056839
fft,94,7.688238405924881
fft,95,7.741139128901428
fft,96,7.88808558161406
fft,97,8.42297066948804
fft,98,8.699230000587786
fft,99,8.76976429788985
insersort,50,5.66853669939224
insersort,51,5.4640018700327255
insersort,52,5.4640018700327255
insersort,53,5.4640018700327255
insersort,54,5.4640018700327255
insersort,55,5.031556802244039
insersort,56,5.049088359046284
insersort,57,5.049088359046284
insersort,58,5.054932211313698
insersort,59,5.054932211313698
insersort,60,5.054932211313698
insersort,61,5.049088359046284
insersort,62,5.049088359046284
insersort,63,5.0607760635811125
insersort,64,5.0607760635811125
insersort,65,5.089995324918186
insersort,66,5.089995324918186
insersort,67,5.183496961196821
insersort,68,5.183496961196821
insersort,69,5.183496961196821
insersort,70,5.218560074801308
insersort,71,5.276998597475456
insersort,72,5.347124824684432
insersort,73,5.347124824684432
insersort,74,5.358812529219261
insersort,75,5.358812529219261
insersort,76,5.499064983637213
insersort,77,5.499064983637213
insersort,78,5.528284244974287
insersort,79,5.528284244974287
insersort,80,5.615942028985507
insersort,81,5.674380551659654
insersort,82,5.773726040205704
insersort,83,5.773726040205704
insersort,84,5.808789153810192
insersort,85,5.884759233286582
insersort,86,6.019167835437121
insersort,87,6.065918653576437
insersort,88,6.036699392239364
insersort,89,6.141888733052828
insersort,90,6.21785881252922
insersort,91,6.428237494156147
insersort,92,6.46914446002805
insersort,93,7.334034595605424
insersort,94,7.369097709209911
insersort,95,7.421692379616643
insersort,96,7.591164095371669
insersort,97,8.006077606358112
insersort,98,8.22814399251987
insersort,99,8.263207106124357
hello,50,2.6952084575291373
hello,51,2.5951225915129372
hello,52,2.59594296746389
hello,53,2.5858249974021428
hello,54,2.575707027340396
hello,55,2.5653155986283314
hello,56,2.555471087216902
hello,57,2.556564921818172
hello,58,2.5557445458672197
hello,59,2.5445327412042027
hello,60,2.5428919893022974
hello,61,2.5409777787500754
hello,62,2.521288755927216
hello,63,2.5169134175221366
hello,64,2.518280710773724
hello,65,2.5185541694240414
hello,66,2.514999206969914
hello,67,2.5259375529826134
hello,68,2.5275783048845186
hello,69,2.525117177031661
hello,70,2.5232029664794386
hello,71,2.566682891879919
hello,72,2.6052405615746843
hello,73,2.606334396175954
hello,74,2.6060609375256365
hello,75,2.6101628172803992
hello,76,2.620827704642781
hello,77,2.620827704642781
hello,78,2.6150850729861137
hello,79,2.624382667096908
hello,80,2.6260234189988134
hello,81,2.646532817772625
hello,82,2.6481735696745297
hello,83,2.6290314641523054
hello,84,2.6407901861159577
hello,85,2.6312191333548456
hello,86,2.6626668781413563
hello,87,2.5945756742123023
hello,88,2.6055140202250016
hello,89,2.6306722160542106
hello,90,2.6566507878343715
hello,91,2.674972517405643
hello,92,2.743063721334697
hello,93,2.8970209414634414
hello,94,2.9060450769239186
hello,95,2.9481577090728113
hello,96,2.962104100239003
hello,97,2.9878092133688465
hello,98,3.0753159814704416
hello,99,3.107584102207905
fibonacci,50,11.4044
fibonacci,51,11.398
fibonacci,52,11.398
fibonacci,53,11.398
fibonacci,54,11.398
fibonacci,55,11.3828
fibonacci,56,11.3832
fibonacci,57,11.3832
fibonacci,58,11.3834
fibonacci,59,11.3834
fibonacci,60,11.3834
fibonacci,61,11.3842
fibonacci,62,11.3844
fibonacci,63,11.3848
fibonacci,64,11.3848
fibonacci,65,11.3858
fibonacci,66,11.3858
fibonacci,67,11.392199999999999
fibonacci,68,11.392199999999999
fibonacci,69,11.392199999999999
fibonacci,70,11.3926
fibonacci,71,11.395199999999999
fibonacci,72,11.396
fibonacci,73,11.3956
fibonacci,74,11.3968
fibonacci,75,11.3968
fibonacci,76,11.4008
fibonacci,77,11.3994
fibonacci,78,11.3994
fibonacci,79,11.4026
fibonacci,80,11.4026
fibonacci,81,11.4076
fibonacci,82,11.4084
fibonacci,83,11.4084
fibonacci,84,11.4098
fibonacci,85,11.4136
fibonacci,86,11.4168
fibonacci,87,11.415799999999999
fibonacci,88,11.4164
fibonacci,89,11.4184
fibonacci,90,11.421199999999999
fibonacci,91,11.4272
fibonacci,92,11.4284
fibonacci,93,11.4564
fibonacci,94,11.4578
fibonacci,95,11.4592
fibonacci,96,11.464599999999999
fibonacci,97,11.4644
fibonacci,98,11.4724
fibonacci,99,11.473600000000001
oddeven,50,7.4659009332376165
oddeven,51,4.737975592246949
oddeven,52,4.737975592246949
oddeven,53,4.737975592246949
oddeven,54,4.737975592246949
oddeven,55,4.343144292893037
oddeven,56,4.3533996513178135
oddeven,57,4.3533996513178135
oddeven,58,4.358527330530202
oddeven,59,4.358527330530202
oddeven,60,4.358527330530202
oddeven,61,4.373910368167368
oddeven,62,4.373910368167368
oddeven,63,4.384165726592144
oddeven,64,4.384165726592144
oddeven,65,4.409804122654086
oddeven,66,4.409804122654086
oddeven,67,4.56876217823813
oddeven,68,4.56876217823813
oddeven,69,4.56876217823813
oddeven,70,4.56876217823813
oddeven,71,4.625166649574402
oddeven,72,4.661060404061122
oddeven,73,4.666188083273511
oddeven,74,4.671315762485899
oddeven,75,4.671315762485899
oddeven,76,4.8046354220079985
oddeven,77,4.8046354220079985
oddeven,78,4.809763101220388
oddeven,79,4.861039893344272
oddeven,80,4.943082760742488
oddeven,81,5.004614911291149
oddeven,82,5.009742590503538
oddeven,83,5.009742590503538
oddeven,84,5.143062250025639
oddeven,85,5.184083683724746
oddeven,86,5.219977438211465
oddeven,87,5.24048815506102
oddeven,88,5.24048815506102
oddeven,89,5.3379140600964
oddeven,90,5.389190852220286
oddeven,91,5.584042662291047
oddeven,92,5.64044713362732
oddeven,93,6.086555225105117
oddeven,94,6.132704338016614
oddeven,95,6.17885345092811
oddeven,96,6.327556148087375
oddeven,97,7.332581273715516
oddeven,98,7.588965234334941
oddeven,99,7.629986668034047
linpack,50,0.6122
linpack,51,0.611
linpack,52,0.6106
linpack,53,0.6102
linpack,54,0.61
linpack,55,0.5926
linpack,56,0.5928
linpack,57,0.5928
linpack,58,0.5930000000000001
linpack,59,0.5932
linpack,60,0.5958
linpack,61,0.5962000000000001
linpack,62,0.5962000000000001
linpack,63,0.5966
linpack,64,0.5963999999999999
linpack,65,0.5982000000000001
linpack,66,0.5963999999999999
linpack,67,0.6006
linpack,68,0.6006
linpack,69,0.597
linpack,70,0.5976
linpack,71,0.5995999999999999
linpack,72,0.6278
linpack,73,0.629
linpack,74,0.6292
linpack,75,0.6292
linpack,76,0.6355999999999999
linpack,77,0.6362
linpack,78,0.6368
linpack,79,0.6368
linpack,80,0.6368
linpack,81,0.641
linpack,82,0.642
linpack,83,0.6438
linpack,84,0.65
linpack,85,0.6516
linpack,86,0.6577999999999999
linpack,87,0.6602
linpack,88,0.6626
linpack,89,0.6689999999999999
linpack,90,0.6812
linpack,91,0.6866
linpack,92,0.6956
linpack,93,0.7096
linpack,94,0.7118
linpack,95,0.7136
linpack,96,0.7188
linpack,97,0.724
linpack,98,0.74
linpack,99,0.741
